LON,LAT,EDO,CLAVE,ESTACION,abr-23
-115.466667,32.55,BC,MXCBN,"Mexicali, B.C.",0
-114.729444,32.703889,BC,PDMBN,"Presa derivadora Morelos, B.C.",0
-116.678333,32.543889,BC,PRTBN,"La Puerta, B.C.",6.9
-116.64,31.704444,BC,PTBBN,"Punta Banda, B.C.",0
-114.839444,31.029167,BC,SFLBN,"Observatorio de San Felipe, B.C.",0
-115.9375,30.531111,BC,SQNBN,"San Quintín, B.C. SMN*",0
-111.663611,25.009722,BCS,CCNBS,"Observatorio de Ciudad Constitución, B.C.S.",0
-109.925833,22.8975,BCS,CSLBS,"Cabo San Lucas, B.C.S.",0
-113.457778,27.643611,BCS,DORBS,"Díaz Ordaz, B.C.S.",0
-109.697222,23.680556,BCS,LBABS,"Los Barriles, B.C.S.",0
-110.366667,24.15,BCS,LPZBS,"Observatorio de La Paz, B.C.S.",0
-111.349167,26.011667,BCS,LRTBS,"Observatorio de Loreto, B.C.S.",0
-109.934167,23.9675,BCS,PLNBS,"Los Planes, B.C.S.",0
-109.591389,23.593056,BCS,RBRBS,"La Ribera, B.C.S.",0
-110.059167,23.805,BCS,SANBS,"San Antonio Sur, B.C.S.",0
-109.995,24.083889,BCS,SARBS,"El Sargento, B.C.S.",0
-109.843889,23.738333,BCS,SBABS,"San Bartolo, B.C.S.",0
-109.708333,23.118889,BCS,SJCBS,"San José del Cabo, B.C.S.",0
-109.713611,23.490278,BCS,SNTBS,"Santiago, B.C.S.",0
-112.272778,27.337778,BCS,SRLBS,"Observatorio de Santa Rosalía, B.C.S.",0
-110.210556,23.478889,BCS,TSNBS,"Todos Santos, B.C.S.",0
-89.743889,20.003889,CAMP,BOLCA,"Bolonchen, Camp.",21.9
-90.575556,19.295,CAMP,CANCA,"Canasayab, Camp.",0
-91.761389,18.654167,CAMP,CARCA,"El Carmen, Camp.",16.5
-90.72,19.361667,CAMP,CHMCA,"Champotón, Camp.",0
-90.558889,19.830556,CAMP,CMPCA,"Campeche, Camp.",0.01
-91.046111,18.184444,CAMP,CNDCA,"Candelaria, Camp.",2.7
-90.5075,19.836389,CAMP,COBCA,"Observatorio de Campeche, Camp.",13.71
-90.741111,18.604444,CAMP,ESCCA,"Escárcega, Camp.",0
-90.105556,20.184167,CAMP,HECCA,"Hecelchakán, Camp.",19
-89.848333,19.751944,CAMP,HPOCA,"Hopelchén, Camp.",68
-90.221389,19.605833,CAMP,NYXCA,"Noh Yaxché, Camp.",6.1
-92.091944,18.253056,CAMP,PLZCA,"Palizada, Camp.",9.5
-91.175833,18.972778,CAMP,SBNCA,"Sabancuy, Camp.",0
-89.859167,19.664444,CAMP,XCPCA,"Xcupil, Camp.",53.5
-89.396111,18.502222,CAMP,XPJCA,"Xpujil, Camp.",37
-107.482778,28.481667,CHIH,AGZCH,"Abraham González, Chih.",0
-107.255556,28.771667,CHIH,BACCH,"Bachíniva, Chih.",2
-106.484722,28.802778,CHIH,C08099,"Majalca, Chih.",5
-108.52,28.147222,CHIH,C08182,"Moris, Chih.",0
-108.092778,29.251944,CHIH,C08219,"Peñitas, Chih.",0
-107.6975,28.759722,CHIH,C08243,"Tejolocachi, Chih.",0
-105.963611,28.773333,CHIH,C08270,"La Mesa, Chih.",0.02
-107.930833,30.376667,CHIH,CAGCH,"Observatorio de Nuevo Casas Grandes, Chih.",0
-105.446944,28.210833,CHIH,CDLCH,"Ciudad Delicias, Chih.",0
-106.400278,31.736667,CHIH,CJZCH,"Ciudad Juárez, Chih.",0
-105.381667,27.410278,CHIH,CL2CH,"Colina hidrométrica, Chih.",1
-106.119444,28.614722,CHIH,ERECH,"El Rejón, Chih.",0
-105.628889,28.166111,CHIH,FIMCH,"Las Vírgenes, Chih.",0
-105.414167,27.544722,CHIH,LBQCH,"La Boquilla, Chih.",0.01
-107.025833,29.88,CHIH,LJSCH,"Las Lajas, Chih.",0
-105.28,28.984444,CHIH,LLNCH,"El Granero, Chih.",0
-104.410833,29.565,CHIH,OJNCH,"Ojinaga, Chih.",0
-105.254167,26.546389,CHIH,PAGCH,"Pico del Aguila, Chih.",3
-105.675556,26.917778,CHIH,PRRCH,"Observatorio de Parral, Chih.",17.4
-106.085556,28.656944,CHIH,QIJCH,"Observatorio de Chihuahua, Chih.",0
-107.85,28.95,CHIH,TMCCH,"Observatorio de Temósachic, Chih.",5.5
-107.384167,29.5625,CHIH,TNTCH,"El Tintero, Chih.",0
-107.9125,27.216667,CHIH,URECH,"Urique, Chih.",0
-105.16,26.738611,CHIH,VICCH,"Villa Coronado, Chih.",3.01
-92.804167,16.552778,CHIS,ACACP,"Acala, Chis.",0
-93.15,16.641944,CHIS,BOQCP,"Boquerón, Chis.",1
-92.483056,15.969167,CHIS,CATARINITAS,"Catarinitas, Chis. SGT*",4.4
-92.281389,15.750278,CHIS,CHICOMUSELO,"Chicomuselo, Chis. SGT*",0
-93.100556,16.941667,CHIS,CHICP,"Manuel Moreno Torres, Chis.",0.1
-92.808056,15.656667,CHIS,ELTRIUNFO,"El Triunfo, Chis. SMN*",1.6
-92.829444,17.373056,CHIS,ESCALONCP,"El Escalón, Chis. SGT*",90.3
-93.342222,17.216667,CHIS,EZAPATACFE,"Emiliano Zapata, Chis. CFE*",20.5
-93.125,16.975,CHIS,GRICP,"Grijalva, Chis.",0
-92.471389,15.146944,CHIS,HUIXTLA,"Huixtla, Chis. SGT*",11
-92.72,15.886111,CHIS,JALTENANGO,"Jaltenango, Chis. SGT*",0
-93.381389,17.364167,CHIS,JDGCP,"Juan de Grijalva, Chis.",2.2
-90.702222,16.580833,CHIS,LACCP,"Lacantún, Chis.",9.4
-93.598889,17.178611,CHIS,MALCP,"Nezahualcóyotl, Chis.",0.37
-93.604722,17.199444,CHIS,MALPASOCFE,"Malpaso, Chis. CFE*",0.27
-93.458611,17.446111,CHIS,PENCP,"Ángel Albino Corzo, Chis.",0
-92.666667,15.916667,CHIS,REFCP,"Reforma, Chis.",8.9
-93.079167,16.158333,CHIS,REVCP,"Revolución Mexicana, Chis.",7.1
-94.003889,16.471111,CHIS,RSACP,"Rosendo Salazar, Chis.",0
-92.35,17.566667,CHIS,SAACP,"Salto de Agua, Chis.",13.5
-93.383333,17.425,CHIS,SAYCP,"Sayula, Chis.",10.6
-93.056389,16.4525,CHIS,SDOCP,"Santo Domingo, Chis.",0
-92.820833,16.938889,CHIS,SNACP,"Santa María, Chis.",0
-93.5375,17.283333,CHIS,TZICP,"Tzimbac, Chis.",23
-93.414167,17.231111,CHIS,TZIMBACCFE,"Tzimbac, Chis. CFE*",23
-93.330556,17.116667,CHIS,YAMCP,"Yamonhó, Chis.",1
-101.057222,29.446944,COAH,AMSCL,"Internacional La Amistad, Coah.",38.7
-100.950278,29.327778,COAH,CDACL,"Ciudad Acuña, Coah.",10.01
-100.95,29.213611,COAH,CNTCL,"El Centenario, Coah.",1
-103.469167,25.542222,COAH,CYTCL,"Coyote, Coah.",0.01
-103.283889,25.068056,COAH,LFLDR,"La Flor, Coah.",0
-103.266667,25.766667,COAH,MADCL,"Madero, Coah.",0
-101.122778,27.846667,COAH,SBNCL,"Sabinas, Coah.",3.01
-100.953889,29.034167,COAH,SMGCL,"San Miguel, Coah.",0
-102.979444,25.7575,COAH,SPECL,"San Pedro, Coah.",0
-100.616111,27.515,COAH,VCRCL,"Venustiano Carranza, Coah.",2.52
-103.613333,19.249722,COL,BVSCM,"Buenavista, Col.",0
-103.726389,18.758611,COL,CDOCM,"Cerro de Ortega, Col.",0
-103.702778,19.295,COL,CHNCM,"El Chanal, Col.",0
-103.757222,19.3175,COL,CMLCM,"Comala, Col.",0
-103.809167,19.204722,COL,CQMCM,"Coquimatlán, Col.",0
-103.605,19.322222,COL,CUACM,"Cuauhtémoc, Col.",0
-103.773889,18.803056,COL,LDACM,"Laguna de Amela, Col.",0
-104.318611,19.044167,COL,MNZCM,"Observatorio de Manzanillo, Col.",0
-103.8125,19.3275,COL,PNTCM,"Presa derivadora Peñitas, Col.",0
-104.1,18.936111,COL,RDRCM,"Radar, Col.",0
-103.700833,19.408333,COL,SCHCM,"Suchitlán, Col.",0
-103.855833,18.908056,COL,TCMCM,"Tecomán, Col.",0
-103.663333,19.2775,COL,TRPCM,"Trapiche, Col.",0
-99.174167,19.240833,DF,AMC,"Academia Méx.cana de Ciencias, Cd. de Méx. UNAM*",22.81
-99.102778,19.423056,DF,BALBUENA,"Balbuena, Cd. de Méx. UNAM*",8.755
-99.118056,19.469722,DF,BONDOJITO,"Bondojito, Cd. de Méx. UNAM*",8.191
-99.059722,19.383611,DF,CCHOTE,"Colegio de Ciencias y Humanidades Oriente, Cd. de Méx. UNAM*",10.3
-99.140278,19.484167,DF,CCHVALLEJO,"Colegio de Ciencias y Humanidades Vallejo, Cd. de Méx. UNAM*",11.46
-99.1375,19.516667,DF,CEADF,"Campamento Amealco, Cd. de Méx.",9.32
-99.196389,19.403611,DF,CTMDF,"Observatorio de Tacubaya, Cd. de Méx.",6.7
-99.291667,19.355278,DF,CUAJIMALPA,"Memetla Cuajimalpa, Cd. de Méx. UNAM*",24.77
-99.140833,19.549444,DF,CUAUTEPEC,"Cuautepec, Cd. de Méx. UNAM*",15.8
-99.105,19.323333,DF,CULHUACAN,"Culhuacán, Cd. de Méx. UNAM*",7.656
-99.205556,19.304722,DF,DATDF,"Desviación Alta, Cd. de Méx.",0
-99.091667,19.478056,DF,GCNDF,"km 6+250 del Gran Canal, Cd. de Méx.",4.5
-99.119444,19.496389,DF,INDIOSVER,"Indios Verdes, Cd. de Méx. UNAM*",7.61
-99.1175,19.356389,DF,MEXICALTZI,"Mexicaltzingo, Cd. de Méx. UNAM*",8.982
-99.043889,19.3375,DF,MEYEHUALCO,"Meyehualco, Cd. de Méx. UNAM*",11.8
-99.021944,19.190556,DF,MLPDF,"Milpa Alta, Cd. de Méx.",21.58
-99.045,19.3025,DF,NOPALERA,"Nopalera, Cd. de Méx. UNAM*",9.2
-99.2275,19.294167,DF,PADIERNA,"Padierna, Cd. de Méx. UNAM*",13.17
-99.071667,19.415,DF,PANTITLAN,"Pantitlán, Cd. de Méx. UNAM*",7.11
-99.134722,19.273333,DF,PREPA5,"Prepa 5, Cd. de Méx. UNAM*",5.61
-99.066667,19.466667,DF,SJADF,"San Juan de Aragón, Cd. de Méx.",7.2
-99.186389,19.455556,DF,TACUBA,"Tacuba, Cd. de Méx. UNAM*",10.698
-99.141389,19.344444,DF,TAXQUENA,"Taxqueña, Cd. de Méx. UNAM*",8.376
-99.189444,19.503333,DF,UAMAZC,"Universidad Autónoma Metropolitana Azcapotzalco, Cd. de Méx. UNAM*",7.57
-99.106667,19.250278,DF,XOCHIMILCO,"Xochimilco, Cd. de Méx. UNAM*",15.66
-104.810278,24.540278,DGO,CBRDR,"Caboraca, Dgo.",5.7
-103.521667,25.533333,DGO,CLRDR,"Ciudad Lerdo, Dgo.",0
-103.698889,24.871944,DGO,CNCDR,"Cuencamé, Dgo.",0.01
-103.773611,25.265278,DGO,FZRDR,"Francisco Zarco, Dgo.",0
-105.25,25.5,DGO,GESDR,"General Escobedo, Dgo.",2.01
-105.952222,25.934444,DGO,GNCDR,"Guanaceví, Dgo.",0.01
-104.9225,24.803889,DGO,GUADR,"Guatimapé, Dgo.",3.4
-104.753056,23.961111,DGO,GVCDR,"Presidente Guadalupe Victoria, Dgo.",0
-105.015833,25.594167,DGO,LCRDR,"Lázaro Cárdenas, Dgo.",1.12
-106.7,25.35,DGO,LHRDR,"La Huerta, Dgo.",0
-103.85,25.816667,DGO,MPMDR,"Mapimí, Dgo.",9.5
-104.6,24.1,DGO,OBSDR,"Observatorio de Durango, Dgo.",0.01
-104.558333,25.181944,DGO,RDODR,"Rodeo, Dgo.",0
-105.443056,25.225,DGO,SACDR,"Salomé Acosta, Dgo.",1.5
-104.675833,23.874444,DGO,SBYDR,"Santiago Bayacora, Dgo.",0
-105.560833,26.436667,DGO,SGBDR,"San Gabriel, Dgo.",5
-102.778056,24.630556,DGO,SJGDR,"San Juan de Guadalupe, Dgo.",3.01
-104.276944,25.085,DGO,SLCDR,"San Luis del Cordero, Dgo.",3.01
-104.2925,25.564167,DGO,SPGDR,"San Pedro del Gallo, Dgo.",12.6
-105.422222,25.0375,DGO,SPPDR,"Santiago Papasquiaro, Dgo.",0
-105.566667,26.084444,DGO,SRDDR,"Sardinas, Dgo.",0.02
-105.506111,26.447778,DGO,VOCDR,"Villa Ocampo, Dgo.",5
-99.906667,16.849722,GRO,ACAGR,"Acapulco, Gro.",0
-99.516944,17.576389,GRO,AERGR,"Observatorio de Chilpancingo Aeropuerto, Gro.",9.7
-100.5175,18.075833,GRO,AFIGR,"Andrés Figueroa, Gro.",0
-98.975278,17.719722,GRO,AHUGR,"Ahuacuotzingo, Gro.",7.4
-100.5,18.154167,GRO,AJCGR,"Ajuchitlán, Gro.",0
-100.433333,17.210278,GRO,ATYGR,"Atoyac, Gro.",1.3
-99.1,16.949444,GRO,AYUGR,"Ayutla, Gro.",2.1
-99.400833,18.459444,GRO,BVSGR,"Buenavista, Gro.",23
-100.664444,18.358611,GRO,CALGR,"Ciudad Altamirano, Gro.",1.5
-99.701111,17.672222,GRO,CCHGR,"Chichihualco, Gro.",15
-100.089444,17.008889,GRO,CDBGR,"Coyuca de Benítez, Gro.",0
-99.5,17.545278,GRO,CHIGR,"Chilpancingo, Gro.",14.3
-99.175833,17.608611,GRO,CHLGR,"Chilapa, Gro.",6.3
-98.411944,16.47,GRO,CNLGR,"Cuajinicuilapa, Gro.",0
-99.661944,18.245278,GRO,COCGR,"Cocula, Gro.",0
-98.970833,16.614722,GRO,COPGR,"Copala, Gro.",0
-101.054444,17.376944,GRO,CYQGR,"Coyuquilla, Gro.",0
-99.995556,17.947778,GRO,ECAGR,"Ing. Carlos Ramírez Ulloa, Gro.",0
-99.516667,17.233333,GRO,EOCGR,"El Ocotito, Gro.",1.1
-99.332778,18.3025,GRO,HTZGR,"Huitzuco, Gro.",23
-99.55,18.349722,GRO,IGLGR,"Iguala, Gro.",21.6
-98.513333,17.6225,GRO,IXTGR,"Ixcateopan de Tlapa, Gro.",64.3
-101.003056,18.418611,GRO,LCLGR,"La Calera, Gro.",2
-100.018056,16.958333,GRO,LDCGR,"Laguna de Coyuca, Gro.",0
-99.235,16.76,GRO,LDGGR,"Las Vigas, Gro.",0
-99.369167,17.471389,GRO,MCHGR,"Mochitlán, Gro.",11.5
-99.799722,16.8,GRO,ODAGR,"Observatorio de Acapulco, Gro.",0
-99.5,17.6,GRO,ODZGR,"Observatorio de Zumpango, Gro.",5.3
-98.729722,17.777778,GRO,OLNGR,"Olinalá, Gro.",4.01
-98.433333,16.683333,GRO,OMEGR,"Ometepec, Gro.",0
-99.45,17.483333,GRO,PETGR,"Petaquillas, Gro.",24.5
-98.500556,16.655833,GRO,QTZGR,"Quetzala, Gro.",0
-99.166111,16.823611,GRO,RMEGR,"Revolución Mexicana, Gro.",0
-100.472778,17.139444,GRO,SJEGR,"San Jerónimo, Gro.",0
-99.482778,16.796389,GRO,SNMGR,"San Marcos, Gro.",0
-99.605278,18.554444,GRO,TAXGR,"Taxco, Gro.",39
-99.526389,17.1675,GRO,TCOGR,"Tierra Colorada, Gro.",0
-99.976389,17.789722,GRO,TLAGR,"Tlacotepec, Gro.",0.01
-98.6,17.5,GRO,TLPGR,"Tlapa, Gro.",0.7
-99.399444,17.568056,GRO,TXTGR,"Tixtla, Gro.",2.5
-100.265833,18.382778,GRO,VGRGR,"Vicente Guerrero, Gro.",0
-99.466111,18.295833,GRO,VTRGR,"Valerio Trujano, Gro.",16.7
-98.488333,17.903889,GRO,XXHGR,"Xochihuehuetlán, Gro.",4
-99.933333,17.603333,GRO,YXTGR,"Yextla, Gro.",6.2
-101.548889,17.645278,GRO,ZHTGR,"Zihuatanejo, Gro.",0
-101.536667,20.446944,GTO,ABSGJ,"Abasolo, Gto.",0.5
-100.712222,20.0325,GTO,ACNGJ,"Acámbaro, Gto.",8.03
-100.683333,20.533333,GTO,AEGGJ,"Apaseo el Grande, Gto.",3
-100.5825,20.553889,GTO,AMCGJ,"Ameche, Gto.",3.5
-101.370833,20.712778,GTO,ANSGJ,"Arandas, Gto.",0.01
-100.620833,20.454167,GTO,APSGJ,"Apaseo el Alto, Gto.",6
-101.625556,20.499167,GTO,ATBGJ,"Agua Tibia, Gto.",1
-101.838333,21.048611,GTO,BRRGJ,"El Barrial, Gto.",0.01
-100.816667,20.536389,GTO,CLYGJ,"Celaya, Gto.",0.5
-101.474722,21.068056,GTO,COMGJ,"Comanjilla, Gto.",0
-100.363333,20.198333,GTO,CORGJ,"Coroneo, Gto.",0.5
-101.666667,20.616667,GTO,CRMGJ,"Cuerámaro, Gto.",0
-100.962778,20.487778,GTO,CRTGJ,"Cortázar, Gto.",1.4
-100.9,20.95,GTO,CSRGJ,"Cinco Señores, Gto.",2.53
-101.6675,21.195278,GTO,CSTGJ,"Los Castillos, Gto.",0.01
-100.933333,21.15,GTO,DHGGJ,"Dolores Hidalgo, Gto.",22
-101.835278,21.05,GTO,EBAGJ,"El Barrial, Gto.",0.02
-100.9,20.279722,GTO,ECBGJ,"El Cubo, Gto.",0.02
-101.244444,20.872222,GTO,ECHGJ,"El Chapín, Gto.",6.01
-101.37,20.715833,GTO,ECNGJ,"El Conejo, Gto.",3.7
-101.678889,21.173611,GTO,EPLGJ,"El Palote, Gto.",0.01
-101.7425,20.439167,GTO,GLNGJ,"La Golondrina, Gto.",0.01
-101.266111,21.014722,GTO,GTOGJ,"Observatorio de Guanajuato, Gto.",4.62
-100.825833,20.848056,GTO,IALGJ,"Ignacio Allende, Gto.",3.01
-101.35,20.683333,GTO,IRPGJ,"Irapuato, Gto.",9.01
-100.518333,20.145556,GTO,JCRGJ,"Jerécuaro, Gto.",1.61
-101.844167,20.675278,GTO,LADGJ,"Las Adjuntas, Gto.",1.2
-101.073056,20.286944,GTO,LDYGJ,"Laguna de Yuriria, Gto.",0.01
-101.693333,21.136389,GTO,LENGJ,"León, Gto.",0
-101.594444,20.842778,GTO,LGVGJ,"Presa la Gavia, Gto.",0
-101.358889,20.276111,GTO,LJIGJ,"Las Jícamas, Gto.",10.45
-101.107778,21.324167,GTO,LQMGJ,"La Quemada, Gto.",2.5
-101.48,21.65,GTO,OCMGJ,"Ocampo, Gto.",2
-101.111389,20.5225,GTO,PERGJ,"Pericos, Gto.",3.6
-100.878333,21.105,GTO,PNLGJ,"Peñuelitas, Gto.",22.5
-100.496111,21.22,GTO,POZGJ,"Pozos, Gto.",21
-101.287778,20.867222,GTO,PRSGJ,"La Purísima, Gto.",2.4
-101.216667,21.483333,GTO,SFEGJ,"San Felipe, Gto.",14
-101.016667,20.4,GTO,SJLGJ,"Santa Julia, Gto.",0.2
-101.199444,20.565833,GTO,SLMGJ,"Salamanca, Gto.",4.13
-100.669722,20.055278,GTO,SLSGJ,"Solís, Gto.",3.01
-100.885833,20.216667,GTO,SLVGJ,"Salvatierra, Gto.",3.16
-100.751944,20.8975,GTO,SMAGJ,"San Miguel de Allende, Gto.",7.1
-100.745833,20.577778,GTO,SMOGJ,"San Miguel Octopan, Gto.",15.7
-101.066944,20.298333,GTO,SRTGJ,"Santa Rita, Gto.",0.01
-101.3,20.6,GTO,TEMGJ,"Temascatío, Gto.",3
-101.178889,20.382778,GTO,VDSGJ,"Valle de Santiago, Gto.",0
-100.0925,21.298889,GTO,XICGJ,"Xichú, Gto.",20.62
-98.941667,20.268056,HGO,ACTHD,"Actopan, Hgo.",0
-98.348056,21.019444,HGO,ATCHD,"Atlapexco, Hgo.",156.5
-99.36,20.163889,HGO,ENDHD,"Endhó, Hgo.",4.03
-98.076111,20.46,HGO,HHTHD,"Huehuetla, Hgo.",147.5
-98.416667,21.15,HGO,HJTHD,"Huejutla, Hgo.",184.4
-99.220833,20.481944,HGO,IXMHD,"Ixmiquilpan, Hgo.",17.8
-98.128333,20.135556,HGO,LLAHD,"La Laguna, Hgo.",16.37
-98.757222,20.591667,HGO,LMTHD,"Metztitlán, Hgo.",10.24
-99.218611,20.2375,HGO,MXQHD,"Mixquiahuala, Hgo.",7.03
-98.7475,20.123333,HGO,PCOHD,"Observatorio de Pachuca, Hgo.",8.61
-98.334722,20.0575,HGO,PERHD,"La Esperanza, Hgo.",17.72
-99.329444,20.359722,HGO,PRGHD,"Javier Rojo Gómez, Hgo.",21.02
-99.310833,19.963056,HGO,PRQHD,"Requena, Hgo.",9.01
-99.375833,20.435556,HGO,PVAHD,"Vicente Aguirre, Hgo.",5.02
-98.369444,20.083333,HGO,TLGHD,"Observatorio de Tulancingo, Hgo.",20.24
-98.658611,20.991667,HGO,TLNHD,"Tlanchinol, Hgo.",165
-99.501111,20.663333,HGO,ZMPHD,"Ing. Fernando Hiriart Balderrama, Hgo.",0
-98.647222,20.652778,HGO,ZXTHD,"Zacualtipán, Hgo.",55
-102.436944,21.599444,JAL,AJJJL,"Ajojucar, Jal.",0
-103.091944,20.397222,JAL,ATQJL,"Atequiza, Jal.",0
-104.063611,19.914444,JAL,BBAJL,"Basilio Vadillo, Jal.",0
-103.724444,22.406111,JAL,BCSJL,"Bocas, Jal.",0.7
-103.782778,21.831667,JAL,BLNJL,"Bolaños, Jal.",0
-102.774167,19.287778,JAL,CHLMC,"Constitución de Apatzingán, Jal.",0
-104.561944,19.2375,JAL,CIHJL,"Cihuatlán, Jal.",0
-105.129722,19.9975,JAL,CPEJL,"Cajón de Peña, Jal.",0
-101.7375,21.497778,JAL,CRTJL,"El Cuarenta, Jal.",0
-105.218333,20.593333,JAL,CULJL,"Cuale, Jal.",0
-103.45,21.066667,JAL,CXTJL,"Cuixtla, Jal.",0
-102.976111,20.681389,JAL,EGCJL,"Ing. Elías González Chávez, Jal.",0
-103.335,20.723333,JAL,EXPJL,"La Experiencia, Jal.",0
-103.354444,20.680556,JAL,GUAJL,"Guadalajara Centro, Jal.",0
-103.651111,20.466944,JAL,HRTJL,"Hurtado, Jal.",0
-102.25,20.483333,JAL,HUAJL,"Huascato, Jal.",0
-102.705833,20.293889,JAL,JMYJL,"Jamay, Jal.",0
-103.201667,20.290556,JAL,LDCJL,"Lago de Chapala, Jal.",0
-101.919722,21.359722,JAL,LDMJL,"Lagos de Moreno, Jal.",0
-101.916667,21.366667,JAL,OLMJL,"Observatorio de Lagos de Moreno, Jal.",0.4
-104.105833,21.196944,JAL,PLYJL,"Ing. Alfredo Elías Ayub, Jal.",0
-102.231944,20.491111,JAL,POLJL,"Ing. Guillermo Lugo Sanabria, Jal.",0
-104.05,20.55,JAL,RAMJL,"Río Ameca, Jal.",0
-101.835556,21.359167,JAL,SA1JL,"La Sauceda, Jal.",0
-101.85,21.35,JAL,SAUJL,"La Sauceda, Jal.",0
-102.5,21.3,JAL,SGRJL,"San Gaspar de los Reyes, Jal.",0
-103.705556,20.908889,JAL,SRSJL,"Manuel M. Diéguez, Jal.",0
-102.583333,21.45,JAL,TCAJL,"Teocaltiche, Jal.",0.01
-104.320278,20.036111,JAL,TCTJL,"Tacotán, Jal.",0
-103.198611,22.171944,JAL,TENJL,"Tenasco, Jal.",0
-103.316667,20.583333,JAL,TLAJL,"Tlaquepaque, Jal.",0
-104.370278,19.976111,JAL,TMLJL,"Ramón Corona Madrigal General, Jal.",0
-103.396667,18.967222,JAL,TRJCM,"Solidaridad, Jal.",0
-103.845833,20.596389,JAL,VEGJL,"Ing. Santiago Camarena, Jal.",0
-99.866667,19.783333,MEX,ATPMX,"Atlacomulco Prepa., Méx.",11.3
-100.436389,18.781111,MEX,BEJMX,"Bejucos, Méx.",0
-99.283333,19.436389,MEX,BOSQUEREAL,"Bosque Real, Méx. UNAM*",11.79
-99.7,19.333333,MEX,CALMX,"Calixtlahuaca, Méx.",24.71
-99.511667,19.205,MEX,CGCMX,"Gerencia Conagua CODAGEM, Méx.",46.11
-98.884722,19.483333,MEX,CHPMX,"Chapingo, Méx.",28.6
-99.301667,19.695,MEX,CNPMX,"La Concepción, Méx.",24.8
-99.714167,19.291111,MEX,COBMX,"Observatorio de Toluca, Méx.",19.33
-100.225,19.178889,MEX,COLMX,"Colorines, Méx.",1.81
-99.559722,19.884722,MEX,DNXMX,"Danxho, Méx.",24
-99.252222,19.635556,MEX,GDLMX,"Sierra de Guadalupe, Méx.",39
-98.917222,19.578889,MEX,GRDMX,"La Grande, Méx.",28.7
-99.250833,19.415833,MEX,HERRADURA,"Herradura, Méx. UNAM*",10.85
-99.696944,20.046389,MEX,HPNMX,"Huapango, Méx.",14.2
-99.05,19.633333,MEX,K27MX,"km 27+250, Méx.",24.16
-99.220833,19.4775,MEX,MBLMX,"Molino Blanco, Méx.",2.51
-99.243333,19.473889,MEX,NAUCALPAN,"Naucalpan, Méx. UNAM*",13.24
-99.420833,18.990833,MEX,OCUMX,"Ocuilán de Arteaga, Méx.",4.01
-99.181944,19.743056,MEX,PCGMX,"Puente Colgante, Méx.",37.02
-99.790278,19.829167,MEX,PFBMX,"Francisco José Trinidad Fabela, Méx.",26.9
-99.775,19.461667,MEX,PIRMX,"Ignacio Ramírez, Méx.",24.01
-99.260833,19.526944,MEX,PMDMX,"Madín, Méx.",8.8
-99.739722,20.124167,MEX,PMNMX,"El Molino, Méx.",11.2
-99.864444,20.038611,MEX,PNDMX,"Ñadó, Méx.",20.35
-99.603333,19.213333,MEX,RECMX,"Rectoría, Méx.",23.32
-99.704722,19.465833,MEX,SBBMX,"José Antonio Alzate, Méx.",28
-99.764722,19.238333,MEX,SJHMX,"San Juan de las Huertas, Méx.",59.8
